BHK,Rent,Size,Area Type,Area Locality,Furnishing Status,Tenant Preferred,Bathroom
1,5000,20,Super Area,Dakshineswar,Unfurnished,Bachelors/Family,1
1,6500,44,Carpet Area,Baranagar,Furnished,Bachelors/Family,1
1,3500,120,Super Area,Dum Dum Cantonment,Unfurnished,Bachelors/Family,1
1,7500,150,Super Area,Salt Lake City,Furnished,Bachelors/Family,1
1,5000,190,Super Area,Baguihati,Semi-Furnished,Bachelors/Family,1
1,3900,200,Super Area,Shyam Bazar,Furnished,Bachelors/Family,1
1,6000,220,Super Area,"Bidhan Pally, Bansdroni",Furnished,Bachelors/Family,1
1,7000,240,Carpet Area,Jadavpur,Unfurnished,Bachelors,1
1,3500,250,Super Area,Baksara,Semi-Furnished,Bachelors/Family,1
1,3500,250,Super Area,"Phool Bagan, Kankurgachi",Furnished,Bachelors/Family,1
1,4700,250,Super Area,Kaikhali,Furnished,Bachelors/Family,1
1,4700,250,Super Area,"Dash Drone, Rajarhat Newtown",Furnished,Bachelors/Family,1
1,4700,250,Super Area,Kaikhali,Furnished,Bachelors/Family,1
1,5000,250,Super Area,Malancha,Unfurnished,Bachelors,1
1,6500,250,Carpet Area,"Tarulia, Keshtopur",Furnished,Bachelors,1
1,10000,270,Carpet Area,Jadavpur University,Semi-Furnished,Bachelors/Family,1
2,5500,280,Super Area,New Barrakpur,Unfurnished,Bachelors,1
1,4000,300,Carpet Area,"Garia Station, Garia",Unfurnished,Bachelors/Family,1
1,5000,300,Carpet Area,Kasba,Unfurnished,Bachelors,1
1,5000,300,Carpet Area,Kasba,Unfurnished,Bachelors/Family,1
1,5000,300,Carpet Area,Dum Dum Metro,Unfurnished,Bachelors/Family,1
1,6000,300,Super Area,Ballygunge,Semi-Furnished,Bachelors/Family,1
1,6000,300,Carpet Area,Tiljala Road,Unfurnished,Bachelors/Family,1
1,6000,300,Carpet Area,Salt Lake City Sector 1,Semi-Furnished,Bachelors/Family,1
1,6300,300,Carpet Area,Salt Lake City Sector 5,Unfurnished,Bachelors/Family,1
1,6800,300,Carpet Area,Salt Lake City Sector 5,Unfurnished,Bachelors/Family,1
1,8000,300,Carpet Area,"Naktala, Garia",Semi-Furnished,Bachelors,1
1,7500,350,Carpet Area,Baghajatin,Unfurnished,Bachelors/Family,1
1,5300,355,Carpet Area,Dum Dum,Semi-Furnished,Bachelors/Family,1
1,5500,375,Carpet Area,Dum Dum Metro,Unfurnished,Bachelors/Family,1
2,5000,392,Super Area,Jadavpur,Unfurnished,Bachelors/Family,1
2,4600,400,Carpet Area,Behala,Semi-Furnished,Bachelors,1
1,5000,400,Carpet Area,Keshtopur,Unfurnished,Bachelors/Family,1
2,5000,400,Carpet Area,Keshtopur,Semi-Furnished,Bachelors/Family,1
2,7000,400,Carpet Area,chatana,Unfurnished,Bachelors/Family,1
1,8000,400,Super Area,Sreebhumi,Semi-Furnished,Bachelors,1
2,9000,400,Carpet Area,"Garia Station, Garia",Unfurnished,Bachelors,2
1,10000,435,Super Area,Kasba,Unfurnished,Bachelors/Family,1
1,4500,450,Super Area,"Rabindra Pally, Keshtopur",Unfurnished,Bachelors/Family,1
1,5000,450,Carpet Area,"Dum Dum Heights, Jessore Road",Semi-Furnished,Bachelors/Family,1
1,5500,450,Carpet Area,Botanical Garden Area,Furnished,Bachelors/Family,1
2,6500,450,Super Area,Ajoy Nagar,Unfurnished,Bachelors/Family,1
1,7500,450,Carpet Area,New Town,Unfurnished,Bachelors,1
2,10000,450,Carpet Area,Behala,Semi-Furnished,Bachelors/Family,2
2,15000,480,Carpet Area,shukhobrishti,Furnished,Bachelors/Family,2
2,8000,490,Super Area,Entally,Semi-Furnished,Bachelors/Family,1
2,5000,500,Carpet Area,Baruipur,Unfurnished,Bachelors/Family,2
2,5500,500,Super Area,"Baishnabghata Patuli Township, Patuli",Unfurnished,Bachelors/Family,1
1,6000,500,Super Area,"New Garia, Garia",Unfurnished,Bachelors/Family,1
1,8000,500,Super Area,Lake Town,Unfurnished,Bachelors/Family,1
1,8200,500,Carpet Area,"Rabindra Pally, Keshtopur",Semi-Furnished,Bachelors/Family,1
2,9000,500,Carpet Area,Airport Near Gate No. 21/2,Unfurnished,Bachelors,1
2,10000,500,Carpet Area,"Rabindra Pally, Keshtopur",Semi-Furnished,Bachelors/Family,1
2,2200,550,Super Area,Behala silpara,Furnished,Bachelors/Family,1
2,6000,550,Super Area,Vip Road,Semi-Furnished,Bachelors/Family,1
2,8500,550,Carpet Area,Kasba -East,Semi-Furnished,Bachelors/Family,1
2,11000,550,Carpet Area,Ultadanga,Unfurnished,Bachelors/Family,1
2,12000,550,Carpet Area,Baghajatin,Semi-Furnished,Family,2
2,13000,550,Carpet Area,Salt Lake City Sector 5,Furnished,Bachelors/Family,2
2,4000,600,Carpet Area,Nilgung Old Bazar,Unfurnished,Bachelors/Family,1
1,5000,600,Super Area,Behala,Unfurnished,Bachelors/Family,1
2,6000,600,Super Area,Barasat,Semi-Furnished,Bachelors/Family,1
1,6000,600,Carpet Area,Pratiraksha Nagar,Unfurnished,Bachelors/Family,1
2,7000,600,Super Area,Thakurpukur,Unfurnished,Bachelors/Family,2
1,7000,600,Carpet Area,Behala,Unfurnished,Bachelors/Family,1
2,7500,600,Super Area,"Amtala, Diamond Harbour Road",Semi-Furnished,Bachelors/Family,1
1,9000,600,Super Area,Behala,Furnished,Bachelors/Family,1
2,18000,600,Super Area,Bagha Jatin Pally,Semi-Furnished,Bachelors/Family,2
2,7000,630,Carpet Area,Birati,Unfurnished,Bachelors,1
2,7200,630,Carpet Area,Birati,Semi-Furnished,Bachelors/Family,1
2,7000,650,Super Area,"Amtala, Diamond Harbour Road",Semi-Furnished,Bachelors/Family,2
2,7000,650,Super Area,Howrah,Unfurnished,Bachelors/Family,1
2,7900,650,Carpet Area,Santoshpur,Unfurnished,Family,1
2,8000,650,Super Area,"Garia Station, Garia",Semi-Furnished,Bachelors/Family,1
2,12000,650,Super Area,"Baishnabghata Patuli Township, Patuli",Unfurnished,Family,2
2,6000,660,Super Area,Behala,Unfurnished,Bachelors/Family,1
2,6500,670,Super Area,"Dunlop, Dakshineswar, Belgharia Expressway",Unfurnished,Family,1
1,7500,680,Super Area,Jadavpur,Unfurnished,Bachelors/Family,1
1,7500,680,Super Area,Jadavpur,Unfurnished,Bachelors/Family,1
2,7000,685,Super Area,Dum Dum Metro,Unfurnished,Bachelors/Family,1
1,6000,700,Super Area,"VIP Nagar, E M Bypass",Unfurnished,Bachelors/Family,1
2,6000,700,Super Area,Barasat-Barrackpore Road,Unfurnished,Bachelors/Family,1
2,6500,700,Super Area,Bandel,Unfurnished,Bachelors,1
2,6500,700,Super Area,Sonarpur,Unfurnished,Bachelors,1
2,7000,700,Carpet Area,Dum Dum Metro,Semi-Furnished,Bachelors/Family,2
2,7000,700,Carpet Area,Baguiati,Unfurnished,Bachelors,1
2,8000,700,Super Area,"Sakher Bazar, Purba Barisha",Unfurnished,Bachelors/Family,1
2,8000,700,Carpet Area,Garia Dhalua Nabapally,Furnished,Bachelors/Family,1
3,8000,700,Carpet Area,"Halisahar Station Road, Kanchrapara",Unfurnished,Family,2
2,8500,700,Carpet Area,Baruipur,Semi-Furnished,Bachelors/Family,1
2,9000,700,Super Area,Kabardanga,Semi-Furnished,Bachelors/Family,1
2,9500,700,Super Area,Jadavpur,Unfurnished,Bachelors/Family,2
2,10000,700,Super Area,Malancha,Unfurnished,Bachelors,2
2,10000,700,Carpet Area,Sarsuna,Unfurnished,Bachelors/Family,2
2,10000,700,Super Area,Benia Pukur,Unfurnished,Bachelors/Family,2
2,14000,700,Carpet Area,"Kudghat, Ashok Nagar",Unfurnished,Bachelors/Family,2
1,20000,700,Super Area,Sankaritola,Semi-Furnished,Bachelors/Family,1
1,24000,710,Super Area,Salt Lake City Sector 1,Furnished,Bachelors,1
2,8500,720,Carpet Area,"Shrachi Village, Madhyam Gram",Semi-Furnished,Bachelors/Family,2
2,10000,740,Carpet Area,Sonarpur,Unfurnished,Bachelors,1
1,5200,750,Super Area,Keshtopur,Unfurnished,Bachelors/Family,1
3,8000,750,Super Area,"Sakher Bazar, Purba Barisha",Unfurnished,Family,1
2,8000,750,Carpet Area,rishi aurobindo sarani neat NIOH hospital,Semi-Furnished,Bachelors/Family,2
2,12500,750,Carpet Area,"Sukhpally, Haltu",Unfurnished,Bachelors/Family,2
2,16000,750,Super Area,"Rajdanga Gardens, Kasba",Unfurnished,Bachelors/Family,2
2,14000,751,Carpet Area,Baghajatin,Unfurnished,Bachelors,1
2,5000,800,Carpet Area,Baruipur,Unfurnished,Bachelors/Family,1
2,6500,800,Carpet Area,"Chak Thakurani, Thakurpukur",Unfurnished,Bachelors/Family,1
2,6700,800,Super Area,"Baishnavghata patuli , house number s-300 Kolkata 700094",Furnished,Bachelors/Family,1
2,7500,800,Carpet Area,Bonhooghly,Unfurnished,Bachelors,1
2,8000,800,Super Area,Behala Chowrasta,Unfurnished,Bachelors/Family,2
2,8000,800,Carpet Area,Vip Road,Unfurnished,Bachelors,1
2,8500,800,Super Area,Baguiati,Unfurnished,Bachelors/Family,1
2,9000,800,Super Area,"New Garia, Garia",Semi-Furnished,Bachelors/Family,2
2,10000,800,Super Area,Dumdum Park,Unfurnished,Bachelors/Family,1
2,10000,800,Super Area,Behala,Unfurnished,Bachelors/Family,1
3,10500,800,Carpet Area,"Teghoria, Baguiati",Unfurnished,Bachelors,2
3,12000,800,Super Area,"Parnashree Lake, Behala",Unfurnished,Bachelors/Family,2
2,12000,800,Super Area,Santoshpur,Furnished,Bachelors/Family,1
2,12500,800,Carpet Area,Shyam Bazar,Unfurnished,Bachelors,1
2,15000,800,Carpet Area,Baguiati,Furnished,Bachelors/Family,1
2,18000,800,Carpet Area,Salt Lake City,Unfurnished,Bachelors,2
2,20000,800,Super Area,"Phool Bagan, Kankurgachi",Semi-Furnished,Bachelors/Family,1
2,22000,800,Super Area,"Hazra, Kalighat",Furnished,Bachelors/Family,1
2,26000,800,Carpet Area,"Palm Avenue Kolkata, Ballygunge",Unfurnished,Bachelors,2
3,14000,840,Carpet Area,Mukundapur,Unfurnished,Bachelors,2
2,7500,850,Carpet Area,South Dum Dum,Unfurnished,Bachelors,1
2,12500,850,Super Area,"Rabindra Sarobar Area, Dhakuria",Unfurnished,Bachelors/Family,2
2,15000,850,Carpet Area,Sreebhumi,Semi-Furnished,Bachelors/Family,1
2,16000,850,Carpet Area,Salt Lake City Sector 1,Semi-Furnished,Bachelors,1
2,16000,850,Carpet Area,Salt Lake City Sector 1,Semi-Furnished,Bachelors,1
2,18000,850,Carpet Area,Behala Chowrasta,Semi-Furnished,Family,1
3,8500,900,Carpet Area,Paschim Barisha,Unfurnished,Bachelors,2
2,9000,900,Carpet Area,Lake Town,Semi-Furnished,Bachelors,1
2,9000,900,Super Area,Keshtopur,Unfurnished,Bachelors/Family,2
2,11000,900,Super Area,Pancha Sayar,Semi-Furnished,Bachelors,1
2,14500,900,Carpet Area,"Panchanan Tola, Thakurpukur",Unfurnished,Bachelors,2
2,15000,900,Carpet Area,"Project Kaikhali, Vip Road",Unfurnished,Bachelors/Family,2
2,15000,900,Carpet Area,Salt Lake City Sector 1,Semi-Furnished,Bachelors/Family,2
2,21000,900,Carpet Area,Bansdroni,Semi-Furnished,Bachelors,2
2,7000,950,Super Area,Kaikhali,Unfurnished,Bachelors/Family,1
1,9000,950,Super Area,Haltu,Unfurnished,Bachelors/Family,2
2,12000,950,Carpet Area,"Jote Shibrampur, Joth Shibrampur",Unfurnished,Bachelors,2
2,12500,950,Super Area,"Magnolia Prestige, Rajarhat",Semi-Furnished,Bachelors/Family,2
2,5000,1000,Carpet Area,Hindmotor,Unfurnished,Bachelors,1
2,6000,1000,Super Area,"Kodalia, Hooghly-Chinsurah",Semi-Furnished,Bachelors/Family,1
2,7000,1000,Super Area,Rajarhat,Unfurnished,Bachelors/Family,1
2,8000,1000,Super Area,"Purbasan, Thakurpukur",Unfurnished,Bachelors/Family,1
2,8000,1000,Super Area,"Chinar Park, Rajarhat",Semi-Furnished,Bachelors/Family,1
2,8000,1000,Super Area,"Chinar Park, Rajarhat",Furnished,Bachelors/Family,1
2,8500,1000,Carpet Area,South Baksara,Unfurnished,Bachelors/Family,1
2,10000,1000,Carpet Area,Natunhat,Semi-Furnished,Bachelors/Family,2
3,12000,1000,Super Area,E M Bypass,Semi-Furnished,Bachelors/Family,2
2,12000,1000,Super Area,Jadavpur,Unfurnished,Bachelors/Family,2
2,14000,1000,Carpet Area,Kasba,Unfurnished,Bachelors/Family,2
2,15000,1000,Super Area,Bansdroni,Unfurnished,Bachelors/Family,2
2,17000,1000,Super Area,Salt Lake City Sector 2,Semi-Furnished,Bachelors/Family,1
2,17500,1000,Carpet Area,Salt Lake City,Semi-Furnished,Bachelors/Family,2
6,20000,1000,Super Area,Sonarpur,Semi-Furnished,Bachelors/Family,2
2,20000,1000,Super Area,Anandapur,Furnished,Bachelors/Family,2
3,20000,1000,Carpet Area,Salt Lake City Sector 1,Semi-Furnished,Bachelors/Family,2
3,15000,1068,Super Area,Bansdroni,Semi-Furnished,Bachelors/Family,2
2,8000,1100,Carpet Area,Naihati,Unfurnished,Bachelors,1
2,10000,1100,Super Area,Bandel,Unfurnished,Bachelors/Family,2
3,15000,1100,Carpet Area,Survey Park,Unfurnished,Bachelors/Family,2
3,16500,1100,Super Area,Mominpur,Unfurnished,Bachelors/Family,1
3,20000,1100,Super Area,"Thakurpukur, Kolkata",Unfurnished,Bachelors/Family,3
3,22000,1100,Carpet Area,Dumdum Park,Unfurnished,Bachelors/Family,1
2,25000,1100,Super Area,"Action Area 1, Rajarhat Newtown",Furnished,Bachelors,2
4,10000,1110,Carpet Area,Purbasa,Unfurnished,Bachelors/Family,2
2,6000,1200,Super Area,Hooghly-Chinsurah,Unfurnished,Bachelors/Family,1
2,6000,1200,Super Area,Hooghly-Chinsurah,Semi-Furnished,Bachelors,2
2,7000,1200,Super Area,Konnagar,Unfurnished,Bachelors/Family,2
2,12000,1200,Super Area,Boral,Furnished,Bachelors/Family,2
1,13000,1200,Super Area,Kasba,Semi-Furnished,Bachelors/Family,1
4,13000,1200,Carpet Area,Tollygunge,Unfurnished,Bachelors/Family,1
4,18000,1200,Super Area,Bagbazar,Unfurnished,Family,2
3,25000,1200,Carpet Area,"Action Area 1, Rajarhat Newtown",Semi-Furnished,Bachelors/Family,2
3,30000,1200,Carpet Area,VIP Road Haldiram,Unfurnished,Bachelors/Family,3
3,40000,1220,Carpet Area,Salt Lake City Sector 3,Unfurnished,Bachelors/Family,2
3,40000,1286,Carpet Area,New Town Action Area 1,Furnished,Bachelors/Family,2
2,10000,1300,Super Area,Kalikapur,Semi-Furnished,Family,2
2,18000,1300,Super Area,Santoshpur,Unfurnished,Bachelors/Family,2
3,22000,1300,Carpet Area,Salt Lake City Sector 2,Unfurnished,Bachelors/Family,3
4,40000,1300,Super Area,Ballygunge,Unfurnished,Bachelors/Family,3
3,21000,1450,Super Area,Ajoy Nagar,Unfurnished,Family,2
3,12000,1500,Carpet Area,Bhadrakali,Furnished,Bachelors,2
3,15000,1500,Carpet Area,"Chandannagar, Hooghly-Chinsurah",Semi-Furnished,Family,2
3,15000,1500,Super Area,"Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road",Unfurnished,Family,2
3,40000,1500,Super Area,Beliaghata,Unfurnished,Bachelors/Family,2
3,6500,1600,Super Area,Joka,Unfurnished,Bachelors/Family,1
3,15000,1600,Super Area,Garia,Unfurnished,Bachelors/Family,2
4,35000,1600,Carpet Area,Salt Lake City Sector 3,Unfurnished,Bachelors/Family,3
2,12000,1800,Carpet Area,Birati,Unfurnished,Bachelors,2
3,14500,1800,Super Area,Belghoria,Semi-Furnished,Bachelors/Family,2
2,11000,2000,Carpet Area,Behala Chowrasta,Unfurnished,Bachelors/Family,1
3,30000,2000,Super Area,Behala,Semi-Furnished,Bachelors/Family,2
3,30000,2000,Super Area,Naihati,Semi-Furnished,Bachelors/Family,2
1,50000,2200,Super Area,Kanchrapara,Furnished,Bachelors/Family,3
3,12000,800,Super Area,"Parnashree Lake, Behala",Unfurnished,Bachelors/Family,2
